Timestamp,Name,Value
0.665615,"NT:/Preferences/ArmPosition",75
0.665615,"NT:/Preferences/ArmP",50
0.774233,"NT:/LiveWindow/.status/LW Enabled",false
0.831989,"NT:/limelight/tshort",0
0.808312,"NT:/limelight/tclass",""
0.809748,"NT:/limelight/getpipe",0
0.832019,"NT:/limelight/camerapose_targetspace",0;0;0;0;0;0
0.832041,"NT:/limelight/botpose_wpiblue",0;0;0;0;0;0
0.832057,"NT:/CameraPublisher/limelight/source","ip:http://10.36.10.11:5800"
0.811174,"NT:/SmartDashboard/limelight_PipelineName","AprilTag"
3.392529,"NT:/limelight/hb",55606
0.832074,"NT:/limelight/botpose_targetspace",0;0;0;0;0;0
0.832089,"NT:/limelight/targetpose_robotspace",0;0;0;0;0;0
0.8321,"NT:/limelight/ta",0
0.81294,"NT:/limelight/camMode",0
0.832107,"NT:/limelight/tvert",0
0.813819,"NT:/limelight/pipeline",0
3.392545,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":13.229790687561035,""ts"":836386.318847,""v"":1}}"
0.832115,"NT:/SmartDashboard/limelight_Stream","http://10.36.10.11:5800"
0.832127,"NT:/limelight/thor",0
0.832135,"NT:/SmartDashboard/limelight_Interface","http://10.36.10.11:5801"
3.39248,"NT:/limelight/tl",12.758749961853027
3.392513,"NT:/limelight/tc",0.40392157435417175;0.40784314274787903;0.40784314274787903
0.832178,"NT:/CameraPublisher/limelight/streams","mjpg:http://10.36.10.11:5800"
0.832193,"NT:/limelight/ts",0
0.84722,"NT:/limelight/tv",0
0.84724,"NT:/limelight/tx",0
0.847247,"NT:/limelight/ty",0
0.84727,"NT:/limelight/targetpose_cameraspace",0;0;0;0;0;0
0.81781,"NT:/CameraPublisher/limelight/modes","320x240 MJPEG 22 fps"
0.84729,"NT:/limelight/tid",-1
0.8473,"NT:/limelight/tlong",0
0.847314,"NT:/limelight/botpose_wpired",0;0;0;0;0;0
0.819222,"NT:/CameraPublisher/limelight/description","limelight"
0.819549,"NT:/CameraPublisher/limelight/mode","320x240 MJPEG 22 fps"
0.819855,"NT:/limelight/stream",0
0.820417,"NT:/limelight/ledMode",0
0.820689,"NT:/limelight/llpython",
0.84733,"NT:/limelight/botpose",0;0;0;0;0;0
0.976469,"NT:/FMSInfo/.type","FMSInfo"
0.976769,"NT:/FMSInfo/GameSpecificMessage",""
0.977004,"NT:/FMSInfo/EventName",""
0.99143,"NT:/FMSInfo/MatchNumber",<invalid>
0.991684,"NT:/FMSInfo/ReplayNumber",<invalid>
0.991855,"NT:/FMSInfo/MatchType",<invalid>
0.992104,"NT:/FMSInfo/IsRedAlliance",true
0.992611,"NT:/FMSInfo/StationNumber",<invalid>
0.992782,"NT:/FMSInfo/FMSControlData",<invalid>
2.29676,"NT:/SmartDashboard/Field/.controllable",true
2.283282,"NT:/SmartDashboard/Field/.type","Field2d"
3.403994,"NT:/SmartDashboard/Field/Robot",0;0;0
2.304017,"NT:/SmartDashboard/Field/.name","Field"
2.795044,"NT:/SmartDashboard/Controller P",2
2.795087,"NT:/SmartDashboard/Controller I",1
2.795116,"NT:/SmartDashboard/Controller D",1
3.00948,"NT:/Preferences/.type","RobotPreferences"
3.053501,"NT:/SmartDashboard/Arm Sim/.controllable",true
3.031939,"NT:/SmartDashboard/Arm Sim/.type","Mechanism2d"
3.032434,"NT:/SmartDashboard/Arm Sim/dims",60;60
3.032699,"NT:/SmartDashboard/Arm Sim/backgroundColor","#000020"
3.049446,"NT:/SmartDashboard/Arm Sim/ArmPivot/x",30
3.049473,"NT:/SmartDashboard/Arm Sim/ArmPivot/y",30
3.051431,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/.type","line"
3.051723,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/angle",0
3.051922,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/length",30
3.052302,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/color","#800080"
3.052513,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/weight",6
3.052847,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/.type","line"
3.052963,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/angle",-90
3.053084,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/length",30
3.054557,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/color","#0000FF"
3.053425,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/weight",10
3.053624,"NT:/SmartDashboard/Arm Sim/.name","Arm Sim"
3.09591,"NT:/SmartDashboard/Shooter Speed",0
3.096116,"NT:/SmartDashboard/AutoShootPower",0.5
3.404492,"NTConnection","{""connected"":true,""remote_id"":""NT3@10.36.10.11:45868"",""remote_ip"":""10.36.10.11"",""remote_port"":45868,""protocol_version"":768}"
3.406456,"NT:/limelight/tl",13.330364227294922
3.406495,"NT:/limelight/tc",0.30588236451148987;0.30588236451148987;0.30588236451148987
3.406513,"NT:/limelight/hb",55607
3.406528,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":12.758749961853027,""ts"":836399.915514,""v"":1}}"
3.419904,"NT:/limelight/tl",12.219531059265137
3.419944,"NT:/limelight/tc",0.41960784792900085;0.42352941632270813;0.42352941632270813
3.419968,"NT:/limelight/hb",55608
3.419985,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":13.330364227294922,""ts"":836413.984472,""v"":1}}"
3.436935,"NT:/limelight/tl",15.66869831085205
3.436973,"NT:/limelight/tc",0.364705890417099;0.364705890417099;0.364705890417099
3.436991,"NT:/limelight/hb",55609
3.437005,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":12.219531059265137,""ts"":836426.914732,""v"":1}}"
3.437267,"NT:/FMSInfo/MatchType",<invalid>
3.43744,"NT:/FMSInfo/FMSControlData",<invalid>
3.449062,"NT:/limelight/tl",10.94432258605957
3.449103,"NT:/limelight/tc",0.29411765933036804;0.29411765933036804;0.29411765933036804
3.449124,"NT:/limelight/hb",55610
3.44914,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":15.66869831085205,""ts"":836444.5234300001,""v"":1}}"
3.4614,"NT:/limelight/tl",11.483489990234375
3.461446,"NT:/limelight/tc",0.40784314274787903;0.40784314274787903;0.40784314274787903
3.461465,"NT:/limelight/hb",55611
3.46148,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":10.94432258605957,""ts"":836456.582285,""v"":1}}"
