Timestamp,Name,Value
0.92467,"NT:/Preferences/ArmPosition",75
0.92467,"NT:/Preferences/ArmP",50
1.058865,"NT:/LiveWindow/.status/LW Enabled",false
1.279095,"NT:/FMSInfo/.type","FMSInfo"
1.279424,"NT:/FMSInfo/GameSpecificMessage",""
1.279617,"NT:/FMSInfo/EventName",""
1.294371,"NT:/FMSInfo/MatchNumber",<invalid>
1.294614,"NT:/FMSInfo/ReplayNumber",<invalid>
1.294784,"NT:/FMSInfo/MatchType",<invalid>
1.295025,"NT:/FMSInfo/IsRedAlliance",true
1.295533,"NT:/FMSInfo/StationNumber",<invalid>
1.295702,"NT:/FMSInfo/FMSControlData",<invalid>
2.776649,"NT:/SmartDashboard/Field/.controllable",true
2.760915,"NT:/SmartDashboard/Field/.type","Field2d"
3.924029,"NT:/SmartDashboard/Field/Robot",0;0;0
2.785389,"NT:/SmartDashboard/Field/.name","Field"
3.258728,"NT:/SmartDashboard/Controller P",2
3.258775,"NT:/SmartDashboard/Controller I",1
3.258805,"NT:/SmartDashboard/Controller D",1
3.487436,"NT:/Preferences/.type","RobotPreferences"
3.533844,"NT:/SmartDashboard/Arm Sim/.controllable",true
3.51362,"NT:/SmartDashboard/Arm Sim/.type","Mechanism2d"
3.514148,"NT:/SmartDashboard/Arm Sim/dims",60;60
3.51443,"NT:/SmartDashboard/Arm Sim/backgroundColor","#000020"
3.529837,"NT:/SmartDashboard/Arm Sim/ArmPivot/x",30
3.529861,"NT:/SmartDashboard/Arm Sim/ArmPivot/y",30
3.531716,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/.type","line"
3.532044,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/angle",0
3.532252,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/length",30
3.532521,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/color","#800080"
3.5328,"NT:/SmartDashboard/Arm Sim/ArmPivot/Arm/weight",6
3.533125,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/.type","line"
3.53325,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/angle",-90
3.533493,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/length",30
3.534914,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/color","#0000FF"
3.533768,"NT:/SmartDashboard/Arm Sim/ArmPivot/ArmTower/weight",10
3.533959,"NT:/SmartDashboard/Arm Sim/.name","Arm Sim"
3.572868,"NT:/SmartDashboard/Shooter Speed",0
3.573075,"NT:/SmartDashboard/AutoShootPower",0.5
3.986568,"NT:/FMSInfo/MatchType",<invalid>
3.986606,"NT:/FMSInfo/FMSControlData",<invalid>
4.002266,"NT:/SmartDashboard/LimelightX",0
4.002471,"NT:/SmartDashboard/LimelightY",0
4.00269,"NT:/SmartDashboard/LimelightArea",0
4.002885,"NT:/SmartDashboard/LimelightLength",0
4.005586,"NT:/SmartDashboard/Arm Current",0
4.01674,"NT:/SmartDashboard/Arm Voltage",0
6.375459,"systemTime",1969-12-31 18:06:07.268539
11.337836,"systemTime",1969-12-31 18:06:12.230968
16.338082,"systemTime",1969-12-31 18:06:17.231244
16.573738,"NTConnection","{""connected"":true,""remote_id"":""NT3@10.36.10.11:59410"",""remote_ip"":""10.36.10.11"",""remote_port"":59410,""protocol_version"":768}"
16.590266,"NT:/limelight/tshort",0
16.590688,"NT:/limelight/tclass",""
16.591038,"NT:/limelight/getpipe",0
16.591428,"NT:/limelight/camerapose_targetspace",0;0;0;0;0;0
16.591675,"NT:/limelight/botpose_wpiblue",0;0;0;0;0;0
16.591973,"NT:/CameraPublisher/limelight/source","ip:http://10.36.10.11:5800"
16.59225,"NT:/SmartDashboard/limelight_PipelineName","AprilTag"
16.592494,"NT:/limelight/hb",2204
16.592766,"NT:/limelight/botpose_targetspace",0;0;0;0;0;0
16.59304,"NT:/limelight/targetpose_robotspace",0;0;0;0;0;0
16.593334,"NT:/limelight/ta",0
16.593638,"NT:/limelight/camMode",0
16.593914,"NT:/limelight/tvert",0
16.594142,"NT:/limelight/pipeline",0
16.59441,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":12.902447700500488,""ts"":46751.650607,""v"":1}}"
16.594698,"NT:/SmartDashboard/limelight_Stream","http://10.36.10.11:5800"
16.594963,"NT:/limelight/thor",0
16.595228,"NT:/SmartDashboard/limelight_Interface","http://10.36.10.11:5801"
16.595463,"NT:/limelight/tl",15.920937538146973
16.595804,"NT:/limelight/tc",0.3843137323856354;0.3843137323856354;0.3843137323856354
16.596103,"NT:/CameraPublisher/limelight/streams","mjpg:http://10.36.10.11:5800"
16.596361,"NT:/limelight/ts",0
16.596663,"NT:/limelight/tv",0
16.596916,"NT:/limelight/tx",0
16.597222,"NT:/limelight/ty",0
16.59967,"NT:/limelight/targetpose_cameraspace",0;0;0;0;0;0
16.600067,"NT:/CameraPublisher/limelight/modes","320x240 MJPEG 22 fps"
16.600412,"NT:/limelight/tid",-1
16.600686,"NT:/limelight/tlong",0
16.601008,"NT:/limelight/botpose_wpired",0;0;0;0;0;0
16.601343,"NT:/CameraPublisher/limelight/description","limelight"
16.601642,"NT:/CameraPublisher/limelight/mode","320x240 MJPEG 22 fps"
16.601973,"NT:/limelight/stream",0
16.602508,"NT:/SmartDashboard/LimelightLength",7.960468769073486
16.602344,"NT:/limelight/ledMode",0
16.602663,"NT:/limelight/llpython",
16.603007,"NT:/limelight/botpose",0;0;0;0;0;0
16.620586,"NT:/SmartDashboard/LimelightLength",10.613958358764648
16.622958,"NT:/limelight/hb",2207
16.623021,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":14.024271011352539,""ts"":46799.879357000005,""v"":1}}"
16.623071,"NT:/limelight/tl",15.874167442321777
16.623086,"NT:/limelight/tc",0.3450980484485626;0.3490196168422699;0.3490196168422699
16.637524,"NT:/limelight/tl",14.846406936645508
16.637574,"NT:/limelight/tc",0.27843138575553894;0.27843138575553894;0.27843138575553894
16.637595,"NT:/limelight/hb",2208
16.637612,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":15.874167442321777,""ts"":46816.359773000004,""v"":1}}"
16.641383,"NT:/SmartDashboard/LimelightLength",11.672070503234863
16.652514,"NT:/limelight/tl",14.362709045410156
16.652552,"NT:/limelight/tc",0.40784314274787903;0.40784314274787903;0.40784314274787903
16.652572,"NT:/limelight/hb",2209
