Timestamp,Name,Value
15.740418,"NT:/SmartDashboard/Est. ArmVolts",2.4566929936408997
15.760475,"NT:/SmartDashboard/Est. ArmVolts",2.551181137561798
15.78046,"NT:/SmartDashboard/Arm Angle",0.0023009711818284618
15.780541,"NT:/SmartDashboard/Arm Rate",0.8063079871670541
15.800601,"NT:/SmartDashboard/Arm Angle",0.02454369260617026
15.800644,"NT:/SmartDashboard/Est. ArmVolts",2.6456692814826965
15.800682,"NT:/SmartDashboard/Arm Rate",1.164775935675044
15.820243,"NT:/SmartDashboard/Arm Angle",0.044485442848683596
15.820316,"NT:/SmartDashboard/Arm Rate",1.390230911623746
15.840035,"NT:/SmartDashboard/Arm Angle",0.06979612584879667
15.840106,"NT:/SmartDashboard/Arm Rate",1.5263870124984613
15.864701,"NT:/SmartDashboard/Arm Angle",0.12195147263690848
15.864898,"NT:/SmartDashboard/Arm Rate",1.8983736005020002
15.880145,"NT:/SmartDashboard/Arm Angle",0.1487961364249072
15.880217,"NT:/SmartDashboard/Arm Rate",1.7932906101071326
15.900179,"NT:/SmartDashboard/Arm Angle",0.18024274257656284
15.900253,"NT:/SmartDashboard/Arm Rate",1.4165161833789424
15.921598,"NT:/SmartDashboard/Arm Angle",0.21399031991004694
15.921677,"NT:/SmartDashboard/Arm Rate",2.057791653210331
15.943177,"NT:/SmartDashboard/Arm Angle",0.2630777051223875
15.943258,"NT:/SmartDashboard/Arm Rate",1.6686854182759687
15.960865,"NT:/SmartDashboard/Arm Angle",0.3060291671831854
15.960946,"NT:/SmartDashboard/Arm Rate",1.790726149581954
15.980314,"NT:/SmartDashboard/Arm Angle",0.34131072530455514
15.980388,"NT:/SmartDashboard/Arm Rate",1.950698824206824
16.00058,"NT:/SmartDashboard/Arm Angle",0.3712233506683252
16.000653,"NT:/SmartDashboard/Arm Rate",1.8178897139639631
16.020382,"NT:/SmartDashboard/Arm Angle",0.40420393760786644
16.020425,"NT:/SmartDashboard/Est. ArmVolts",2.740157425403595
16.020462,"NT:/SmartDashboard/Arm Rate",1.7515195111733743
16.040457,"NT:/SmartDashboard/Arm Angle",0.45099035163837853
16.040532,"NT:/SmartDashboard/Arm Rate",2.1046591039111493
16.06093,"NT:/SmartDashboard/Arm Angle",0.48933987133551954
16.061002,"NT:/SmartDashboard/Arm Rate",1.6278248929650778
16.075522,"systemTime",2023-02-03 17:42:30.189058
16.080416,"NT:/SmartDashboard/Arm Angle",0.516951525517461
16.08049,"NT:/SmartDashboard/Arm Rate",1.3421828575427783
16.100228,"NT:/SmartDashboard/Arm Angle",0.5476311412751739
16.100302,"NT:/SmartDashboard/Arm Rate",2.0442174678646605
16.12027,"NT:/SmartDashboard/Arm Angle",0.5821457090026009
16.120343,"NT:/SmartDashboard/Arm Rate",1.5482244528518785
16.140887,"NT:/SmartDashboard/Arm Angle",0.6120583343663708
16.140969,"NT:/SmartDashboard/Arm Rate",1.2998460229938704
16.161103,"NT:/SmartDashboard/Arm Angle",0.6335340653967698
16.161251,"NT:/SmartDashboard/Arm Rate",1.2228557210559747
16.180644,"NT:/SmartDashboard/Arm Angle",0.6634466907605399
16.180718,"NT:/SmartDashboard/Arm Rate",1.8122520974489233
16.200526,"NT:/SmartDashboard/Arm Angle",0.7033301912455665
16.200602,"NT:/SmartDashboard/Arm Rate",1.4266602691396137
16.220542,"NT:/SmartDashboard/Arm Angle",0.7324758262153936
16.220605,"NT:/SmartDashboard/Arm Angle",0.7332428166093364
16.220625,"NT:/SmartDashboard/Arm Rate",1.4100384115135962
16.241997,"NT:/SmartDashboard/Arm Angle",0.7646894227609922
16.242086,"NT:/SmartDashboard/Arm Rate",1.5501801706691338
16.261535,"NT:/SmartDashboard/Arm Angle",0.8084078752157329
16.261601,"NT:/SmartDashboard/Arm Angle",0.8091748656096757
16.261622,"NT:/SmartDashboard/Arm Rate",2.8500734597717337
16.280931,"NT:/SmartDashboard/Arm Angle",0.8498253564886452
16.28102,"NT:/SmartDashboard/Arm Rate",2.226064124054043
16.301339,"NT:/SmartDashboard/Arm Angle",0.8828059434281865
16.301416,"NT:/SmartDashboard/Arm Rate",1.4065798206319065
16.320605,"NT:/SmartDashboard/Arm Angle",0.9127185687919565
16.320696,"NT:/SmartDashboard/Arm Rate",1.726386571251636
16.339834,"NT:/SmartDashboard/Arm Angle",0.9572040116406401
16.339908,"NT:/SmartDashboard/Arm Rate",2.708418958968248
