Timestamp,Name,Value
11.546887,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":15.564635276794434,""ts"":3216635.049085,""v"":1}}"
11.559778,"NT:/limelight/tl",13.957343101501465
11.559817,"NT:/limelight/tc",0.42352941632270813;0.42352941632270813;0.42352941632270813
11.559835,"NT:/limelight/hb",215582
11.559849,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":15.439009666442871,""ts"":3216651.32372,""v"":1}}"
11.565002,"NT:/SmartDashboard/LimelightLength",12.483619976043702
11.574157,"NT:/limelight/tl",13.445052146911621
11.574263,"NT:/limelight/tc",0.30588236451148987;0.30588236451148987;0.30588236451148987
11.574288,"NT:/limelight/hb",215583
11.574361,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":13.957343101501465,""ts"":3216666.4326270004,""v"":1}}"
11.585937,"NT:/SmartDashboard/LimelightLength",12.596666812896729
11.587255,"NT:/limelight/tl",12.307761192321777
11.587294,"NT:/limelight/tc",0.38823530077934265;0.38823530077934265;0.38823530077934265
11.587313,"NT:/limelight/hb",215584
