Timestamp,Name,Value
0.832996,"NT:/Preferences/ArmPosition",75
0.832996,"NT:/Preferences/ArmP",50
0.939966,"NT:/LiveWindow/.status/LW Enabled",false
1.15253,"NT:/FMSInfo/.type","FMSInfo"
1.15284,"NT:/FMSInfo/GameSpecificMessage",""
1.153073,"NT:/FMSInfo/EventName",""
1.167859,"NT:/FMSInfo/MatchNumber",<invalid>
1.168116,"NT:/FMSInfo/ReplayNumber",<invalid>
1.168289,"NT:/FMSInfo/MatchType",<invalid>
1.16853,"NT:/FMSInfo/IsRedAlliance",true
1.169048,"NT:/FMSInfo/StationNumber",<invalid>
1.169243,"NT:/FMSInfo/FMSControlData",<invalid>
1.602524,"NT:/limelight/tshort",0
1.548173,"NT:/limelight/tclass",""
1.54847,"NT:/limelight/getpipe",0
1.602561,"NT:/limelight/camerapose_targetspace",0;0;0;0;0;0
1.602585,"NT:/limelight/botpose_wpiblue",0;0;0;0;0;0
1.602604,"NT:/CameraPublisher/limelight/source","ip:http://10.36.10.11:5800"
1.549998,"NT:/SmartDashboard/limelight_PipelineName","AprilTag"
3.72236,"NT:/limelight/hb",627598
1.602623,"NT:/limelight/botpose_targetspace",0;0;0;0;0;0
1.60264,"NT:/limelight/targetpose_robotspace",0;0;0;0;0;0
1.602652,"NT:/limelight/ta",0
1.557348,"NT:/limelight/camMode",0
1.602661,"NT:/limelight/tvert",0
1.557891,"NT:/limelight/pipeline",0
3.722377,"NT:/limelight/json","{""Results"":{""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""pID"":0.0,""tl"":18.20609474182129,""ts"":9352699.708984,""v"":1}}"
1.60267,"NT:/SmartDashboard/limelight_Stream","http://10.36.10.11:5800"
1.602684,"NT:/limelight/thor",0
1.602693,"NT:/SmartDashboard/limelight_Interface","http://10.36.10.11:5801"
3.7223,"NT:/limelight/tl",11.875782012939453
3.722341,"NT:/limelight/tc",0.4274509847164154;0.4274509847164154;0.4274509847164154
1.602708,"NT:/CameraPublisher/limelight/streams","mjpg:http://10.36.10.11:5800"
1.602724,"NT:/limelight/ts",0
